id,base_id,base_addresses,addresses
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,"[{""freeform"":""7643 Gate Pkwy Ste 104"",""locality"":""Jacksonville"",""region"":""FL"",""country"":""US"",""postcode"":""32256""}]","[{""freeform"":""7643 Gate Pkwy"",""locality"":""Jacksonville"",""postcode"":""32256-2892"",""region"":""FL"",""country"":""US""}]"
08f29a456e42e5830324637954145c50,1125899907111860,"[{""freeform"":""1158 N 2nd St"",""locality"":""El Cajon"",""region"":""CA"",""country"":""US"",""postcode"":""92021""}]","[{""freeform"":""1158 N 2nd St"",""locality"":""El Cajon"",""postcode"":""92021-5023"",""region"":""CA"",""country"":""US""}]"
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,"[{""freeform"":""49 Emnotweni Avenue"",""locality"":""Mbombela"",""region"":"""",""country"":""ZA"",""postcode"":""1201""}]","[{""freeform"":""Mazda Nelspruit, 49 Emnotweni Avenue"",""locality"":""Riverside Park"",""postcode"":""1201"",""region"":""MP"",""country"":""ZA""}]"
1407374885933937,844424932146366,"[{""freeform"":""875 Mansell Rd Ste B1"",""locality"":""Roswell"",""region"":""GA"",""country"":""US"",""postcode"":""30076""}]","[{""freeform"":""875 Mansell Rd B1"",""locality"":""Roswell"",""region"":""GA"",""country"":""US"",""postcode"":""30076""}]"
08f3956260b9e14003feca2bf0764d0c,1407374887472291,"[{""freeform"":""Calle Rei Jaume I 9"",""locality"":""Alicante"",""region"":""Alacant"",""country"":""ES"",""postcode"":""03509""}]","[{""freeform"":""Carrer del Rei Jaume I, 9"",""locality"":""Finestrat"",""postcode"":""03509"",""country"":""ES""}]"
1125899912143279,1407374890190043,"[{""freeform"":""43821 Shady Creek"",""locality"":""Temecula"",""region"":""CA"",""country"":""US"",""postcode"":""92590""}]","[{""freeform"":""43821 Shady Crk"",""locality"":""Temecula"",""region"":""CA"",""country"":""US"",""postcode"":""92590""}]"
08f2aa879200ab960398d7c665470cf4,562949954974969,"[{""freeform"":""6254 Duke St"",""locality"":""Alexandria"",""region"":""VA"",""country"":""US"",""postcode"":""22312""}]","[{""freeform"":""6254 Duke St"",""locality"":""Alexandria"",""postcode"":""22312"",""region"":""VA"",""country"":""US""}]"
08f1969a93ad194003d9ba6cd9e59cbc,1407374890303749,"[{""freeform"":""Torenstraat 16"",""locality"":""Ede"",""region"":"""",""country"":""NL"",""postcode"":""6711 AN""}]","[{""freeform"":""Torenstraat 16"",""locality"":""Ede"",""postcode"":""6711 AN"",""country"":""NL""}]"
1407374891126949,562949966191554,"[{""freeform"":""3680 Robinwood Rd"",""locality"":""Gastonia"",""region"":""NC"",""country"":""US"",""postcode"":""28054""}]","[{""freeform"":""3680 Robinwood Rd"",""locality"":""Gastonia"",""region"":""NC"",""country"":""US"",""postcode"":""28054""}]"
08f3950d1d5a6bae03a09c30bbb17406,1407374890671707,"[{""freeform"":""Avenida de Oliva S/n, Pego"",""locality"":""Alicante"",""region"":"""",""country"":""ES"",""postcode"":""03780""}]","[{""freeform"":""Avenida de Oliva"",""locality"":""Alicante"",""postcode"":""03780"",""country"":""ES""}]"
08f48d621e8c9db103fd54168e9fe11c,1125899912129300,"[{""freeform"":""100 E Navajo Dr"",""locality"":""Hobbs"",""region"":""NM"",""country"":""US"",""postcode"":""88240""}]","[{""freeform"":""100 E Navajo Dr"",""locality"":""Hobbs"",""postcode"":""88240-9309"",""region"":""NM"",""country"":""US""}]"
