id,base_id,base_categories,categories
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,"{""primary"":""vehicle_shipping"",""alternate"":[""courier_and_delivery_services"",""mailbox_center"",""shipping_center"",""post_office"",""automotive""]}","{""primary"":""shipping_center"",""alternate"":[""freight_and_cargo_service"",""post_office""]}"
08f29a456e42e5830324637954145c50,1125899907111860,"{""primary"":""transmission_repair"",""alternate"":[""automotive""]}","{""primary"":""automotive_repair"",""alternate"":[""automotive"",""professional_services""]}"
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,"{""primary"":""used_car_dealer"",""alternate"":[""automotive""]}","{""primary"":""car_dealer"",""alternate"":[""automotive"",""automotive_dealer""]}"
1407374885933937,844424932146366,"{""primary"":""shoe_store"",""alternate"":[""online_shop"",""retail""]}","{""primary"":""shoe_store"",""alternate"":[""online_shop"",""retail""]}"
08f3956260b9e14003feca2bf0764d0c,1407374887472291,"{""primary"":""brake_service_and_repair"",""alternate"":[""auto_body_shop"",""tire_shop"",""automotive"",""retail""]}","{""primary"":""automotive_repair"",""alternate"":[""car_dealer"",""automotive_parts_and_accessories""]}"
1125899912143279,1407374890190043,"{""primary"":""doctor"",""alternate"":[""health_and_medical""]}","{""primary"":""doctor"",""alternate"":[""health_and_medical""]}"
08f2aa879200ab960398d7c665470cf4,562949954974969,"{""primary"":""hotel""}","{""primary"":""hotel""}"
08f1969a93ad194003d9ba6cd9e59cbc,1407374890303749,"{""primary"":""sushi_restaurant"",""alternate"":[""restaurant""]}","{""primary"":""sushi_restaurant"",""alternate"":[""japanese_restaurant"",""bubble_tea""]}"
1407374891126949,562949966191554,"{""primary"":""doctor"",""alternate"":[""medical_center"",""urgent_care_clinic"",""health_and_medical""]}","{""primary"":""doctor"",""alternate"":[""medical_center"",""urgent_care_clinic"",""health_and_medical""]}"
08f3950d1d5a6bae03a09c30bbb17406,1407374890671707,"{""primary"":""car_wash"",""alternate"":[""gas_station"",""automotive""]}","{""primary"":""gas_station"",""alternate"":[""energy_company"",""auto_detailing""]}"
08f48d621e8c9db103fd54168e9fe11c,1125899912129300,"{""primary"":""civil_engineers"",""alternate"":[""land_surveying"",""engineering_services"",""agricultural_engineering_service"",""structural_engineer"",""real_estate_service"",""b2b_agriculture_and_food"",""business_to_business""]}","{""primary"":""engineering_services"",""alternate"":[""land_surveying"",""commercial_industrial""]}"
08f44e8346794333033a01eb53999680,1407374890864242,"{""primary"":""ice_cream_and_frozen_yoghurt"",""alternate"":[""restaurant""]}","{""primary"":""ice_cream_shop"",""alternate"":[""bakery"",""diner""]}"
1407374887100674,562949958711311,"{""primary"":""convenience_store"",""alternate"":[""gas_station"",""automotive"",""retail""]}","{""primary"":""convenience_store"",""alternate"":[""gas_station"",""automotive"",""retail""]}"
08f2ab2c4b89449a03e88d9391424fd1,562949961699505,"{""primary"":""sign_making""}","{""primary"":""sign_making"",""alternate"":[""graphic_designer"",""screen_printing_t_shirt_printing""]}"
1970324842101934,1970324842430502,"{""primary"":""shoe_store"",""alternate"":[""clothing_store"",""retail""]}","{""primary"":""shoe_store"",""alternate"":[""clothing_store"",""retail""]}"
08f281334dcd60a303d3ca8e7eff2b77,562949957672973,"{""primary"":""beverage_supplier"",""alternate"":[""burger_restaurant"",""fast_food_restaurant"",""business_equipment_and_supply"",""food_and_beverage_consultant"",""restaurant"",""business_to_business""]}","{""primary"":""fast_food_restaurant"",""alternate"":[""burger_restaurant"",""restaurant""]}"
08f1f8ed8172e8b203a9f0a42e5a8224,1125899912578717,"{""primary"":""hair_stylist"",""alternate"":[""hair_salon"",""beauty_and_spa""]}","{""primary"":""hair_stylist"",""alternate"":[""hair_salon"",""beauty_and_spa""]}"
08f44e554128900503a7df0284a7d549,1407374891438357,"{""primary"":""pub"",""alternate"":[""bar"",""restaurant""]}","{""primary"":""bar_and_grill_restaurant"",""alternate"":[""restaurant"",""diner""]}"
1125899912492752,562949957705495,"{""primary"":""laboratory_testing"",""alternate"":[""clinical_laboratories"",""scientific_laboratories"",""b2b_medical_support_services"",""laboratory"",""health_and_medical"",""business_to_business""]}","{""primary"":""laboratory_testing"",""alternate"":[""clinical_laboratories"",""scientific_laboratories"",""b2b_medical_support_services"",""laboratory"",""health_and_medical"",""business_to_business""]}"
08f26ea82388e7990365b4a4be4226e2,1407374886399280,"{""primary"":""nurse_practitioner"",""alternate"":[""health_and_medical""]}","{""primary"":""nurse_practitioner"",""alternate"":[""health_and_medical""]}"
562949962147432,562949962669156,"{""primary"":""music_production_services""}","{""primary"":""music_production_services""}"
