record_index,id,attribute,current_value,base_value,current_confidence,base_confidence,label
2000,5a1afaa9-8cdf-43d8-b188-04b55e436ef1,names,ymca residences,ymca residences,0.9500626074407351,0.7790513381014027,current
2000,5a1afaa9-8cdf-43d8-b188-04b55e436ef1,categories,gym,gym,0.9500626074407351,0.7790513381014027,current
2000,5a1afaa9-8cdf-43d8-b188-04b55e436ef1,websites,"[""http://www.ymcacolumbus.org/downtown""]","[""http://www.ymcacolumbus.org/downtown""]",0.9500626074407351,0.7790513381014027,current
2000,5a1afaa9-8cdf-43d8-b188-04b55e436ef1,phones,16142241131,16142241131,0.9500626074407351,0.7790513381014027,current
2000,5a1afaa9-8cdf-43d8-b188-04b55e436ef1,addresses,40 w long street,40 w long street,0.9500626074407351,0.7790513381014027,current
2000,5a1afaa9-8cdf-43d8-b188-04b55e436ef1,emails,<na>,<na>,0.9500626074407351,0.7790513381014027,current
2000,5a1afaa9-8cdf-43d8-b188-04b55e436ef1,socials,https://www.facebook.com/187362621293064,https://www.facebook.com/187362621293064,0.9500626074407351,0.7790513381014027,current
2001,974da259-4677-401a-a8b0-acbe3b3cca7b,names,establish studio & nutrition club,establish studio & nutrition club,0.6392360292383872,0.5241735439754774,current
2001,974da259-4677-401a-a8b0-acbe3b3cca7b,categories,gym,gym,0.6392360292383872,0.5241735439754774,current
2001,974da259-4677-401a-a8b0-acbe3b3cca7b,websites,<na>,<na>,0.6392360292383872,0.5241735439754774,current
2001,974da259-4677-401a-a8b0-acbe3b3cca7b,phones,,,0.6392360292383872,0.5241735439754774,current
2001,974da259-4677-401a-a8b0-acbe3b3cca7b,addresses,7727 k4 highway,7727 k4 highway,0.6392360292383872,0.5241735439754774,current
2001,974da259-4677-401a-a8b0-acbe3b3cca7b,emails,<na>,<na>,0.6392360292383872,0.5241735439754774,current
2001,974da259-4677-401a-a8b0-acbe3b3cca7b,socials,https://www.facebook.com/107374165204892,https://www.facebook.com/107374165204892,0.6392360292383872,0.5241735439754774,current
2002,3d14e5b4-6027-494e-bad8-f16854db419d,names,nulawlab,nulawlab,0.9500626074407351,0.7790513381014027,current
2002,3d14e5b4-6027-494e-bad8-f16854db419d,categories,college university,college university,0.9500626074407351,0.7790513381014027,current
2002,3d14e5b4-6027-494e-bad8-f16854db419d,websites,"[""http://nulawlab.org/""]","[""http://nulawlab.org/""]",0.9500626074407351,0.7790513381014027,current
2002,3d14e5b4-6027-494e-bad8-f16854db419d,phones,16173732205,16173732205,0.9500626074407351,0.7790513381014027,current
2002,3d14e5b4-6027-494e-bad8-f16854db419d,addresses,65 forsyth street,65 forsyth street,0.9500626074407351,0.7790513381014027,current
2002,3d14e5b4-6027-494e-bad8-f16854db419d,emails,<na>,<na>,0.9500626074407351,0.7790513381014027,current
2002,3d14e5b4-6027-494e-bad8-f16854db419d,socials,https://www.facebook.com/376634319132168,https://www.facebook.com/376634319132168,0.9500626074407351,0.7790513381014027,current
2003,d8e86163-3f55-4f86-a71a-f90a8471fa8b,names,ss equipment new holland,ss equipment new holland,0.9885143997113691,0.8105818077633227,current
2003,d8e86163-3f55-4f86-a71a-f90a8471fa8b,categories,industrial equipment,industrial equipment,0.9885143997113691,0.8105818077633227,current
2003,d8e86163-3f55-4f86-a71a-f90a8471fa8b,websites,"[""https://www.sseqinc.com/""]","[""https://www.sseqinc.com/""]",0.9885143997113691,0.8105818077633227,current
2003,d8e86163-3f55-4f86-a71a-f90a8471fa8b,phones,15094889606,15094889606,0.9885143997113691,0.8105818077633227,current
2003,d8e86163-3f55-4f86-a71a-f90a8471fa8b,addresses,2505 s broadway avenue,2505 s broadway avenue,0.9885143997113691,0.8105818077633227,current
2003,d8e86163-3f55-4f86-a71a-f90a8471fa8b,emails,<na>,<na>,0.9885143997113691,0.8105818077633227,current
2003,d8e86163-3f55-4f86-a71a-f90a8471fa8b,socials,https://www.facebook.com/155315774505807,https://www.facebook.com/155315774505807,0.9885143997113691,0.8105818077633227,current
2004,c3641612-0745-4aa6-ace3-839330d44cee,names,"rusself victor, cpa, pc","rusself victor, cpa, pc",0.77,0.6314,current
2004,c3641612-0745-4aa6-ace3-839330d44cee,categories,accountant,accountant,0.77,0.6314,current
2004,c3641612-0745-4aa6-ace3-839330d44cee,websites,"[""http://www.victorcpa.com/""]","[""http://www.victorcpa.com/""]",0.77,0.6314,current
2004,c3641612-0745-4aa6-ace3-839330d44cee,phones,7817677473,7817677473,0.77,0.6314,current
2004,c3641612-0745-4aa6-ace3-839330d44cee,addresses,20 mazzeo drive ste 221,20 mazzeo drive ste 221,0.77,0.6314,current
2004,c3641612-0745-4aa6-ace3-839330d44cee,emails,<na>,<na>,0.77,0.6314,current
2004,c3641612-0745-4aa6-ace3-839330d44cee,socials,<na>,<na>,0.77,0.6314,current
2005,374b0a05-6ccb-4f36-94c2-84d2563ee06a,names,stop n go,stop n go,0.9500626074407351,0.7790513381014027,current
2005,374b0a05-6ccb-4f36-94c2-84d2563ee06a,categories,gas station,gas station,0.9500626074407351,0.7790513381014027,current
2005,374b0a05-6ccb-4f36-94c2-84d2563ee06a,websites,"[""http://www.stop-n-go.com""]","[""http://www.stop-n-go.com""]",0.9500626074407351,0.7790513381014027,current
2005,374b0a05-6ccb-4f36-94c2-84d2563ee06a,phones,13044696609,13044696609,0.9500626074407351,0.7790513381014027,current
2005,374b0a05-6ccb-4f36-94c2-84d2563ee06a,addresses,1418 e main street,1418 e main street,0.9500626074407351,0.7790513381014027,current
2005,374b0a05-6ccb-4f36-94c2-84d2563ee06a,emails,<na>,<na>,0.9500626074407351,0.7790513381014027,current
2005,374b0a05-6ccb-4f36-94c2-84d2563ee06a,socials,https://www.facebook.com/159297767480560,https://www.facebook.com/159297767480560,0.9500626074407351,0.7790513381014027,current
2006,5d2b2794-6a76-46f8-b234-722f48520924,names,hoops on mission,hoops on mission,0.9735918045043945,0.7983452796936035,current
2006,5d2b2794-6a76-46f8-b234-722f48520924,categories,community services non profits,community services non profits,0.9735918045043945,0.7983452796936035,current
2006,5d2b2794-6a76-46f8-b234-722f48520924,websites,"[""http://hoopsonmission.org/""]","[""http://hoopsonmission.org/""]",0.9735918045043945,0.7983452796936035,current
2006,5d2b2794-6a76-46f8-b234-722f48520924,phones,12398881933,12398881933,0.9735918045043945,0.7983452796936035,current
