id,base_id,categories,base_categories
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,"{""primary"":""shipping_center"",""alternate"":[""freight_and_cargo_service"",""post_office""]}","{""primary"":""vehicle_shipping"",""alternate"":[""courier_and_delivery_services"",""mailbox_center"",""shipping_center"",""post_office"",""automotive""]}"
08f29a456e42e5830324637954145c50,1125899907111860,"{""primary"":""automotive_repair"",""alternate"":[""automotive"",""professional_services""]}","{""primary"":""transmission_repair"",""alternate"":[""automotive""]}"
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,"{""primary"":""car_dealer"",""alternate"":[""automotive"",""automotive_dealer""]}","{""primary"":""used_car_dealer"",""alternate"":[""automotive""]}"
08f3956260b9e14003feca2bf0764d0c,1407374887472291,"{""primary"":""automotive_repair"",""alternate"":[""car_dealer"",""automotive_parts_and_accessories""]}","{""primary"":""brake_service_and_repair"",""alternate"":[""auto_body_shop"",""tire_shop"",""automotive"",""retail""]}"
08f3950d1d5a6bae03a09c30bbb17406,1407374890671707,"{""primary"":""gas_station"",""alternate"":[""energy_company"",""auto_detailing""]}","{""primary"":""car_wash"",""alternate"":[""gas_station"",""automotive""]}"
08f48d621e8c9db103fd54168e9fe11c,1125899912129300,"{""primary"":""engineering_services"",""alternate"":[""land_surveying"",""commercial_industrial""]}","{""primary"":""civil_engineers"",""alternate"":[""land_surveying"",""engineering_services"",""agricultural_engineering_service"",""structural_engineer"",""real_estate_service"",""b2b_agriculture_and_food"",""business_to_business""]}"
08f44e8346794333033a01eb53999680,1407374890864242,"{""primary"":""ice_cream_shop"",""alternate"":[""bakery"",""diner""]}","{""primary"":""ice_cream_and_frozen_yoghurt"",""alternate"":[""restaurant""]}"
08f281334dcd60a303d3ca8e7eff2b77,562949957672973,"{""primary"":""fast_food_restaurant"",""alternate"":[""burger_restaurant"",""restaurant""]}","{""primary"":""beverage_supplier"",""alternate"":[""burger_restaurant"",""fast_food_restaurant"",""business_equipment_and_supply"",""food_and_beverage_consultant"",""restaurant"",""business_to_business""]}"
08f44e554128900503a7df0284a7d549,1407374891438357,"{""primary"":""bar_and_grill_restaurant"",""alternate"":[""restaurant"",""diner""]}","{""primary"":""pub"",""alternate"":[""bar"",""restaurant""]}"
08f2659a2d05a4b103cc0338dfb94fa1,1407374886155785,"{""primary"":""gym"",""alternate"":[""active_life"",""health_and_medical""]}","{""primary"":""boot_camp"",""alternate"":[""gym"",""active_life""]}"
