method,attribute,labeled_rows,accuracy,precision,recall,f1
rule,ALL,23167,0.6788967065222083,0.6853280698606375,0.8402757406864183,0.7549332894086641
rule,addresses,3449,0.6152507973325602,0.5824501907587961,0.8006993006993007,0.6743558282208589
rule,categories,3432,0.6803613053613053,0.7005692599620493,0.8570102135561746,0.7709333890164961
rule,emails,3449,0.7993621339518701,0.8495821727019499,0.8717844017966517,0.860540104796453
rule,names,3449,0.6578718469121484,0.6433063791554358,0.7876787678767877,0.7082096933728981
rule,phones,3441,0.7038651554780587,0.7408102025506377,0.8575770733825445,0.7949285570537331
rule,socials,2500,0.8092,0.9577693557119653,0.815959409594096,0.8811955168119552
rule,websites,3447,0.5221932114882507,0.3748483623129802,0.9017509727626459,0.5295629820051414
ml,ALL,42548,0.8079815737519978,0.8743874129481558,0.7949038611849304,0.8327533265097237
ml,addresses,6347,0.8381912714668347,0.942914979757085,0.7244167962674961,0.819349164467898
ml,categories,6330,0.7723538704581359,0.7975313988739714,0.8792074480783003,0.8363801521516975
ml,emails,6347,0.8132976209232708,0.8321561338289963,0.940743853750788,0.8831245684978795
ml,names,6347,0.8298408697022215,0.8897376286947858,0.7817332944266122,0.8322460391425909
ml,phones,6335,0.7630623520126283,0.899851411589896,0.7223282442748091,0.8013762074897446
ml,socials,4497,0.9404047142539471,0.9372315035799522,0.9987283825025433,0.9670032011819749
ml,websites,6345,0.7371158392434988,0.9517543859649122,0.11579509071504802,0.20647002854424357
