id,base_id,selected_names,selected_from_names,selected_categories,selected_from_categories,selected_websites,selected_from_websites,selected_phones,selected_from_phones,selected_addresses,selected_from_addresses,selected_emails,selected_from_emails,selected_socials,selected_from_socials
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,"{""primary"":""Goin' Postal Jacksonville""}",current,"{""primary"":""shipping_center"",""alternate"":[""freight_and_cargo_service"",""post_office""]}",current,"[""https://www.goinpostaljacksonville.com/""]",base,"[""+19049989600""]",current,"[{""freeform"":""7643 Gate Pkwy Ste 104"",""locality"":""Jacksonville"",""region"":""FL"",""country"":""US"",""postcode"":""32256""}]",base,,current,"[""https://www.facebook.com/463273470392736""]",current
08f29a456e42e5830324637954145c50,1125899907111860,"{""primary"":""Valley Transmission""}",current,"{""primary"":""automotive_repair"",""alternate"":[""automotive"",""professional_services""]}",current,"[""http://valleytransca.com/""]",base,"[""+16194474353""]",current,"[{""freeform"":""1158 N 2nd St"",""locality"":""El Cajon"",""postcode"":""92021-5023"",""region"":""CA"",""country"":""US""}]",current,,current,"[""https://www.facebook.com/107150256087765""]",current
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,"{""primary"":""Mazda Nelspruit""}",current,"{""primary"":""car_dealer"",""alternate"":[""automotive"",""automotive_dealer""]}",current,"[""https://nelspruitmazda.co.za/""]",base,"[""+27137573800""]",current,"[{""freeform"":""Mazda Nelspruit, 49 Emnotweni Avenue"",""locality"":""Riverside Park"",""postcode"":""1201"",""region"":""MP"",""country"":""ZA""}]",current,,current,"[""https://www.facebook.com/113070635372645""]",current
1407374885933937,844424932146366,"{""primary"":""Red Wing""}",base,"{""primary"":""shoe_store"",""alternate"":[""online_shop"",""retail""]}",current,"[""http://stores.redwing.com/roswell-ga""]",base,"[""7705584400""]",base,"[{""freeform"":""875 Mansell Rd Ste B1"",""locality"":""Roswell"",""region"":""GA"",""country"":""US"",""postcode"":""30076""}]",base,,current,,base
08f3956260b9e14003feca2bf0764d0c,1407374887472291,"{""primary"":""Norauto España""}",current,"{""primary"":""automotive_repair"",""alternate"":[""car_dealer"",""automotive_parts_and_accessories""]}",current,"[""http://centro.norauto.es/centre/alicante-finestrat-benidorm/358""]",base,"[""+34966803254""]",current,"[{""freeform"":""Calle Rei Jaume I 9"",""locality"":""Alicante"",""region"":""Alacant"",""country"":""ES"",""postcode"":""03509""}]",base,,current,"[""https://www.facebook.com/295967644448975""]",current
1125899912143279,1407374890190043,"{""primary"":""Newport Institute""}",current,"{""primary"":""doctor"",""alternate"":[""health_and_medical""]}",current,"[""https://www.newportinstitute.com/?utm_source=soci&utm_medium=referral&utm_campaign=listing&utm_content=shady-creek""]",base,"[""8445450602""]",base,"[{""freeform"":""43821 Shady Creek"",""locality"":""Temecula"",""region"":""CA"",""country"":""US"",""postcode"":""92590""}]",base,,current,,base
08f2aa879200ab960398d7c665470cf4,562949954974969,"{""primary"":""Comfort Inn Landmark""}",base,"{""primary"":""hotel""}",base,"[""""]",base,"[""7036423422""]",base,"[{""freeform"":""6254 Duke St"",""locality"":""Alexandria"",""postcode"":""22312"",""region"":""VA"",""country"":""US""}]",current,,current,,base
08f1969a93ad194003d9ba6cd9e59cbc,1407374890303749,"{""primary"":""SushiCo | Sushi & Bubble Tea Ede""}",base,"{""primary"":""sushi_restaurant"",""alternate"":[""japanese_restaurant"",""bubble_tea""]}",current,"[""https://www.sushico.nl/""]",base,"[""+31318255062""]",current,"[{""freeform"":""Torenstraat 16"",""locality"":""Ede"",""postcode"":""6711 AN"",""country"":""NL""}]",current,,current,"[""https://www.facebook.com/110185694447961""]",current
1407374891126949,562949966191554,"{""primary"":""NextCare Urgent Care Gastonia""}",current,"{""primary"":""doctor"",""alternate"":[""medical_center"",""urgent_care_clinic"",""health_and_medical""]}",current,"[""https://nextcare.com/locations/nc/gastonia/""]",base,"[""7042154057""]",base,"[{""freeform"":""3680 Robinwood Rd"",""locality"":""Gastonia"",""region"":""NC"",""country"":""US"",""postcode"":""28054""}]",current,,current,,base
08f3950d1d5a6bae03a09c30bbb17406,1407374890671707,"{""primary"":""BP""}",current,"{""primary"":""gas_station"",""alternate"":[""energy_company"",""auto_detailing""]}",current,"[""https://www.bp.com/es_es/spain/home/productos-y-servicios/para-su-vehiculo/estaciones-de-servicio-bp.html""]",base,"[""+34966400784""]",current,"[{""freeform"":""Avenida de Oliva S/n, Pego"",""locality"":""Alicante"",""region"":"""",""country"":""ES"",""postcode"":""03780""}]",base,,current,"[""https://www.facebook.com/2023469851040046""]",current
