id,base_id,attribute,winner,score_current,score_base,decision_reason
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,names,current,0.6833,0.5015,higher_rule_score
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,categories,current,0.7081,0.5803,higher_rule_score
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,websites,current,0.6541,0.4723,higher_rule_score
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,phones,current,0.6541,0.4723,higher_rule_score
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,addresses,current,0.6558,0.4874,higher_rule_score
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,emails,current,1.0,0.0,base_missing
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,socials,current,1.0,0.0,base_missing
08f29a456e42e5830324637954145c50,1125899907111860,names,current,0.6698,0.488,higher_rule_score
08f29a456e42e5830324637954145c50,1125899907111860,categories,current,0.7081,0.4993,higher_rule_score
08f29a456e42e5830324637954145c50,1125899907111860,websites,current,0.6541,0.4723,higher_rule_score
08f29a456e42e5830324637954145c50,1125899907111860,phones,current,0.6541,0.4723,higher_rule_score
08f29a456e42e5830324637954145c50,1125899907111860,addresses,current,0.6558,0.4739,higher_rule_score
08f29a456e42e5830324637954145c50,1125899907111860,emails,current,1.0,0.0,base_missing
08f29a456e42e5830324637954145c50,1125899907111860,socials,current,1.0,0.0,base_missing
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,names,current,0.6216,0.479,higher_rule_score
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,categories,current,0.6688,0.4993,higher_rule_score
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,websites,current,0.6148,0.4723,higher_rule_score
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,phones,current,0.6148,0.4723,higher_rule_score
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,addresses,current,0.6486,0.4773,higher_rule_score
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,emails,current,1.0,0.0,base_missing
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,socials,current,1.0,0.0,base_missing
1407374885933937,844424932146366,names,current,0.4948,0.4633,higher_rule_score
1407374885933937,844424932146366,categories,current,0.5263,0.5263,quality_tiebreak
1407374885933937,844424932146366,websites,current,0.4723,0.4723,quality_tiebreak
1407374885933937,844424932146366,phones,current,0.4723,0.4723,quality_tiebreak
1407374885933937,844424932146366,addresses,base,0.4773,0.4841,quality_tiebreak
1407374885933937,844424932146366,emails,current,1.0,0.0,base_missing
1407374885933937,844424932146366,socials,tie,0.0,0.0,both_missing
08f3956260b9e14003feca2bf0764d0c,1407374887472291,names,current,0.6386,0.461,higher_rule_score
08f3956260b9e14003feca2bf0764d0c,1407374887472291,categories,current,0.6881,0.5803,higher_rule_score
08f3956260b9e14003feca2bf0764d0c,1407374887472291,websites,current,0.6341,0.4723,higher_rule_score
08f3956260b9e14003feca2bf0764d0c,1407374887472291,phones,current,0.6341,0.4723,higher_rule_score
08f3956260b9e14003feca2bf0764d0c,1407374887472291,addresses,current,0.6493,0.4773,higher_rule_score
08f3956260b9e14003feca2bf0764d0c,1407374887472291,emails,current,1.0,0.0,base_missing
08f3956260b9e14003feca2bf0764d0c,1407374887472291,socials,current,1.0,0.0,base_missing
1125899912143279,1407374890190043,names,current,0.4835,0.4835,quality_tiebreak
1125899912143279,1407374890190043,categories,current,0.4993,0.4993,quality_tiebreak
1125899912143279,1407374890190043,websites,current,0.4723,0.4723,quality_tiebreak
1125899912143279,1407374890190043,phones,current,0.4723,0.4723,quality_tiebreak
