id,base_id,selected_names,selected_from_names,selected_categories,selected_from_categories,selected_websites,selected_from_websites,selected_phones,selected_from_phones,selected_addresses,selected_from_addresses,selected_emails,selected_from_emails,selected_socials,selected_from_socials
08f44f055a9a016e0390f050aa3c93c0,1688849865669487,"{""primary"":""Goin' Postal Jacksonville""}",current,"{""primary"":""shipping_center"",""alternate"":[""freight_and_cargo_service"",""post_office""]}",current,"[""http://www.goinpostaljacksonville.com/""]",current,"[""+19049989600""]",current,"[{""freeform"":""7643 Gate Pkwy"",""locality"":""Jacksonville"",""postcode"":""32256-2892"",""region"":""FL"",""country"":""US""}]",current,,current,"[""https://www.facebook.com/463273470392736""]",current
08f29a456e42e5830324637954145c50,1125899907111860,"{""primary"":""Valley Transmission""}",current,"{""primary"":""automotive_repair"",""alternate"":[""automotive"",""professional_services""]}",current,"[""http://valleytransca.com/""]",current,"[""+16194474353""]",current,"[{""freeform"":""1158 N 2nd St"",""locality"":""El Cajon"",""postcode"":""92021-5023"",""region"":""CA"",""country"":""US""}]",current,,current,"[""https://www.facebook.com/107150256087765""]",current
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,"{""primary"":""Mazda Nelspruit""}",current,"{""primary"":""car_dealer"",""alternate"":[""automotive"",""automotive_dealer""]}",current,"[""http://bit.ly/NelspruitMazda""]",current,"[""+27137573800""]",current,"[{""freeform"":""Mazda Nelspruit, 49 Emnotweni Avenue"",""locality"":""Riverside Park"",""postcode"":""1201"",""region"":""MP"",""country"":""ZA""}]",current,,current,"[""https://www.facebook.com/113070635372645""]",current
1407374885933937,844424932146366,"{""primary"":""Red Wing - Roswell, GA""}",current,"{""primary"":""shoe_store"",""alternate"":[""online_shop"",""retail""]}",current,"[""https://stores.redwingshoes.com/roswell-ga""]",current,"[""7705584400""]",current,"[{""freeform"":""875 Mansell Rd Ste B1"",""locality"":""Roswell"",""region"":""GA"",""country"":""US"",""postcode"":""30076""}]",base,,current,,tie
08f3956260b9e14003feca2bf0764d0c,1407374887472291,"{""primary"":""Norauto España""}",current,"{""primary"":""automotive_repair"",""alternate"":[""car_dealer"",""automotive_parts_and_accessories""]}",current,"[""https://centro.norauto.es/alacant/finestrat/c-rei-jaume-i-n-9""]",current,"[""+34966803254""]",current,"[{""freeform"":""Carrer del Rei Jaume I, 9"",""locality"":""Finestrat"",""postcode"":""03509"",""country"":""ES""}]",current,,current,"[""https://www.facebook.com/295967644448975""]",current
1125899912143279,1407374890190043,"{""primary"":""Newport Institute""}",current,"{""primary"":""doctor"",""alternate"":[""health_and_medical""]}",current,"[""http://www.newportinstitute.com/?utm_source=soci&utm_medium=referral&utm_campaign=listing&utm_content=shady-creek""]",current,"[""8445450602""]",current,"[{""freeform"":""43821 Shady Creek"",""locality"":""Temecula"",""region"":""CA"",""country"":""US"",""postcode"":""92590""}]",base,,current,,tie
08f2aa879200ab960398d7c665470cf4,562949954974969,"{""primary"":""Comfort Inn Alexandria West - Landmark""}",current,"{""primary"":""hotel""}",current,"[""https://www.choicehotels.com/virginia/alexandria/comfort-inn-hotels/va116""]",current,"[""7036423422""]",current,"[{""freeform"":""6254 Duke St"",""locality"":""Alexandria"",""postcode"":""22312"",""region"":""VA"",""country"":""US""}]",current,,current,,tie
08f1969a93ad194003d9ba6cd9e59cbc,1407374890303749,"{""primary"":""SushiCo""}",current,"{""primary"":""sushi_restaurant"",""alternate"":[""japanese_restaurant"",""bubble_tea""]}",current,"[""http://www.sushico.nl/""]",current,"[""+31318255062""]",current,"[{""freeform"":""Torenstraat 16"",""locality"":""Ede"",""postcode"":""6711 AN"",""country"":""NL""}]",current,,current,"[""https://www.facebook.com/110185694447961""]",current
1407374891126949,562949966191554,"{""primary"":""NextCare Urgent Care Gastonia""}",current,"{""primary"":""doctor"",""alternate"":[""medical_center"",""urgent_care_clinic"",""health_and_medical""]}",current,"[""https://nextcare.com/locations/nc/gastonia/""]",current,"[""7042154057""]",current,"[{""freeform"":""3680 Robinwood Rd"",""locality"":""Gastonia"",""region"":""NC"",""country"":""US"",""postcode"":""28054""}]",current,,current,,tie
08f3950d1d5a6bae03a09c30bbb17406,1407374890671707,"{""primary"":""BP""}",current,"{""primary"":""gas_station"",""alternate"":[""energy_company"",""auto_detailing""]}",current,"[""https://www.bp.com/es_es/spain/home.html""]",current,"[""+34966400784""]",current,"[{""freeform"":""Avenida de Oliva"",""locality"":""Alicante"",""postcode"":""03780"",""country"":""ES""}]",current,,current,"[""https://www.facebook.com/2023469851040046""]",current
08f48d621e8c9db103fd54168e9fe11c,1125899912129300,"{""primary"":""Pettigrew and Associates""}",current,"{""primary"":""engineering_services"",""alternate"":[""land_surveying"",""commercial_industrial""]}",current,"[""http://www.pettigrew.us/""]",current,"[""+15753939827""]",current,"[{""freeform"":""100 E Navajo Dr"",""locality"":""Hobbs"",""postcode"":""88240-9309"",""region"":""NM"",""country"":""US""}]",current,,current,"[""https://www.facebook.com/117203175006974""]",current
08f44e8346794333033a01eb53999680,1407374890864242,"{""primary"":""Jeremiah's Italian Ice""}",current,"{""primary"":""ice_cream_shop"",""alternate"":[""bakery"",""diner""]}",current,"[""https://jeremiahsice.com/?y_source=1_MTAwNjkxNTI0My01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D""]",current,"[""+12057470443""]",current,"[{""freeform"":""790 Montgomery Hwy"",""locality"":""Vestavia Hills"",""postcode"":""35216-1872"",""region"":""AL"",""country"":""US""}]",current,,current,"[""https://www.facebook.com/111067831985657""]",current
1407374887100674,562949958711311,"{""primary"":""Murphy Express""}",base,"{""primary"":""convenience_store"",""alternate"":[""gas_station"",""automotive"",""retail""]}",current,"[""http://www.murphyusa.com/""]",current,"[""8033560950""]",current,"[{""freeform"":""4448 Sunset Blvd"",""locality"":""Lexington"",""region"":""SC"",""country"":""US"",""postcode"":""29072""}]",current,,current,,tie
